[2010-04-24 07:51:54,393]  INFO - [main] Attempting to log in...
[2010-04-24 07:51:55,081]  INFO - [main] Successfully logged in as: wchung/eric
[2010-04-24 07:51:55,081]  INFO - [main] Validating Oracle Data Loader On Demand 
[2010-04-24 07:51:55,331]  INFO - [main] A SOAP request was sent to the server to 
[2010-04-24 07:51:56,862]  INFO - [main] A SOAP request was sent to the server to 
[2010-04-24 07:52:01,268]  INFO - [main] A response to the SOAP request sent to 
[2010-04-24 07:52:01,268]  INFO - [main] Oracle Data Loader On Demand Import 
[2010-04-24 07:52:01,268]  INFO - [main] Submitting Oracle Data Loader On Demand 
[2010-04-24 07:52:01,284]  INFO - [main] Import Request Submission Status: Started
[2010-04-24 07:52:02,487]  INFO - [Thread-3] A response to the import data SOAP 
[2010-04-24 07:52:02,487]  INFO - [Thread-3] A SOAP request containing import data 
[2010-04-24 07:52:06,284]  INFO - [main] Import Request Submission Status: 100.00%
[2010-04-24 07:52:07,284]  INFO - [main] Oracle Data Loader On Demand Import 
[2010-04-24 07:52:07,300]  INFO - [main] Attempting to log out...
[2010-04-24 07:52:09,487]  INFO - [main] oracle/oracle is now logged out.
